2018-04-04T09:37:47.187Z - info: Smart Irrigation System is up and running...
2018-04-04T09:37:49.759Z - info: User function triggered, starting execution
Execution took 4 ms, user function completed successfully
2018-04-04T16:49:07.639Z - info: Execution took 3 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T16:49:07.640Z - info: Execution took 3 ms, user function completed successfully
Execution took 6 ms, user function completed successfully
2018-04-04T16:49:07.644Z - info: User function triggered, starting execution
2018-04-04T16:49:07.646Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T16:49:07.653Z - info: User function triggered, starting execution
Execution took 1 ms, user function completed successfully
2018-04-04T16:49:07.654Z - info: User function triggered, starting execution
User function triggered, starting execution
2018-04-04T16:49:07.656Z - info: Execution took 1 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
User function triggered, starting execution
User function triggered, starting execution
2018-04-04T16:49:07.658Z - info: User function triggered, starting execution
2018-04-04T16:49:07.660Z - info: Execution took 2 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T16:49:07.664Z - info: Execution took 5 ms, user function completed successfully
2018-04-04T16:49:07.668Z - info: User function triggered, starting execution
2018-04-04T16:49:07.669Z - info: User function triggered, starting execution
2018-04-04T16:49:07.669Z - info: User function triggered, starting execution
2018-04-04T16:49:07.672Z - info: Execution took 3 ms, user function completed successfully
Execution took 4 ms, user function completed successfully
2018-04-04T16:49:07.673Z - info: Execution took 3 ms, user function completed successfully
2018-04-04T16:49:07.709Z - info: User function triggered, starting execution
2018-04-04T16:49:07.710Z - info: Execution took 0 ms, user function completed successfully
2018-04-04T16:49:07.720Z - info: User function triggered, starting execution
2018-04-04T16:49:07.721Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T16:49:07.734Z - info: User function triggered, starting execution
2018-04-04T16:49:07.736Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T16:49:10.846Z - info: User function triggered, starting execution
2018-04-04T16:49:11.871Z - info: Execution took 1023 ms, user function completed successfully
2018-04-04T16:49:11.912Z - info: User function triggered, starting execution
2018-04-04T16:49:11.913Z - info: User function triggered, starting execution
2018-04-04T16:49:11.913Z - info: User function triggered, starting execution
2018-04-04T16:49:11.914Z - info: User function triggered, starting execution
2018-04-04T16:49:11.914Z - info: User function triggered, starting execution
2018-04-04T16:49:11.915Z - info: User function triggered, starting execution
2018-04-04T16:49:11.918Z - info: Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
2018-04-04T16:49:11.919Z - info: Execution took 4 ms, user function completed successfully
Execution took 7 ms, user function completed successfully
2018-04-04T16:49:11.931Z - info: User function triggered, starting execution
2018-04-04T16:49:11.932Z - info: User function triggered, starting execution
2018-04-04T16:49:11.932Z - info: User function triggered, starting execution
2018-04-04T16:49:11.932Z - info: User function triggered, starting execution
2018-04-04T16:49:11.933Z - info: User function triggered, starting execution
2018-04-04T16:49:11.933Z - info: User function triggered, starting execution
2018-04-04T16:49:11.935Z - info: Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
2018-04-04T16:49:11.936Z - info: Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
2018-04-04T16:49:11.937Z - info: Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
2018-04-04T16:49:11.948Z - info: User function triggered, starting execution
2018-04-04T16:49:11.948Z - info: User function triggered, starting execution
2018-04-04T16:49:11.949Z - info: User function triggered, starting execution
2018-04-04T16:49:11.949Z - info: User function triggered, starting execution
2018-04-04T16:49:11.950Z - info: User function triggered, starting execution
2018-04-04T16:49:11.950Z - info: User function triggered, starting execution
2018-04-04T16:49:11.952Z - info: Execution took 3 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T16:49:11.954Z - info: Execution took 4 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
Execution took 5 ms, user function completed successfully
2018-04-04T16:49:11.959Z - info: User function triggered, starting execution
2018-04-04T16:49:11.959Z - info: User function triggered, starting execution
2018-04-04T16:49:11.963Z - info: Execution took 1 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T16:49:11.969Z - info: User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
2018-04-04T16:49:11.971Z - info: Execution took 2 ms, user function completed successfully
Execution took 1 ms, user function completed successfully
User function triggered, starting execution
User function triggered, starting execution
2018-04-04T16:49:11.975Z - info: Execution took 2 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
Execution took 5 ms, user function completed successfully
2018-04-04T16:49:11.977Z - info: User function triggered, starting execution
2018-04-04T16:49:11.978Z - info: Execution took 2 ms, user function completed successfully
2018-04-04T16:49:11.983Z - info: User function triggered, starting execution
2018-04-04T16:49:11.984Z - info: User function triggered, starting execution
2018-04-04T16:49:11.985Z - info: Execution took 1 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T16:49:13.003Z - info: User function triggered, starting execution
2018-04-04T16:49:13.005Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T16:49:17.457Z - info: User function triggered, starting execution
2018-04-04T16:49:19.310Z - info: อายุมันสำปะหลัง => 364 วัน
2018-04-04T16:49:19.310Z - info: แปลงมันสำปะหลัง
ความสูงของน้ำไหลเข้าแปลง 3.61075 มิลลิเมตร/ชั่วโมง
วันเริ่มปลูก 2018-04-04 ETp จำนวนวัน => 366
2018-04-04T16:49:19.312Z - info: วันที่รดน้ำ => 2018-04-04
สัปดาห์ที่ 0 จากทั้งหมด 52 สัปดาห์
2018-04-04T16:49:19.312Z - info: ค่า ETp ประจำวัน => 4.090952499808826
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2272857499426477
วันที่รดน้ำครั้งต่อไป => 2018-04-08
accumulated ETc = 2.9159089481627682
2018-04-04T16:49:19.312Z - info: วันที่ 94 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 49 นาที รวม 49 นาที
2018-04-04T16:49:19.312Z - info: day[1] of 364 @2018-04-08
next day = 4
day of 1
วันที่รดน้ำ => 2018-04-08
2018-04-04T16:49:19.312Z - info: สัปดาห์ที่ 0 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.107120068309556
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2321360204928669
วันที่รดน้ำครั้งต่อไป => 2018-04-12
accumulated ETc = 2.9996599324923494
วันที่ 98 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 50 นาที รวม 50 นาที
day[6] of 364 @2018-04-12
next day = 9
2018-04-04T16:49:19.312Z - info: day of 2
วันที่รดน้ำ => 2018-04-12
สัปดาห์ที่ 1 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.119077018252692
2018-04-04T16:49:19.312Z - info: ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2357231054758075
วันที่รดน้ำครั้งต่อไป => 2018-04-16
accumulated ETc = 3.0945544729735484
2018-04-04T16:49:19.312Z - info: วันที่ 102 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 52 นาที รวม 52 นาที
day[11] of 364 @2018-04-16
next day = 14
day of 3
2018-04-04T16:49:19.313Z - info: วันที่รดน้ำ => 2018-04-16
สัปดาห์ที่ 2 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.127016322690864
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.238104896807259
2018-04-04T16:49:19.313Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-20
accumulated ETc = 3.20025127903007
2018-04-04T16:49:19.313Z - info: วันที่ 106 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 54 นาที รวม 54 นาที
day[16] of 364 @2018-04-20
next day = 19
day of 4
2018-04-04T16:49:19.313Z - info: วันที่รดน้ำ => 2018-04-20
สัปดาห์ที่ 2 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.131672604746511
ค่า Kc => 0.3
2018-04-04T16:49:19.313Z - info: ค่า ETc ประจำวัน => 1.239501781423953
วันที่รดน้ำครั้งต่อไป => 2018-04-24
accumulated ETc = 3.3178841243819215
2018-04-04T16:49:19.313Z - info: วันที่ 110 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 56 นาที รวม 56 นาที
2018-04-04T16:49:19.313Z - info: day[21] of 364 @2018-04-24
next day = 24
day of 5
2018-04-04T16:49:19.313Z - info: วันที่รดน้ำ => 2018-04-24
สัปดาห์ที่ 3 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.134214969328835
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2402644907986504
2018-04-04T16:49:19.313Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-28
accumulated ETc = 3.7405997010483563
2018-04-04T16:49:19.313Z - info: วันที่ 114 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 1 ชั่วโมง 3 นาที รวม 63 นาที
day[26] of 364 @2018-04-28
next day = 29
day of 6
2018-04-04T16:49:19.313Z - info: วันที่รดน้ำ => 2018-04-28
สัปดาห์ที่ 4 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.136059001447335
2018-04-04T16:49:19.313Z - info: ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6544236005789341
วันที่รดน้ำครั้งต่อไป => 2018-05-03
2018-04-04T16:49:19.314Z - info: accumulated ETc = 6.022347132625011
2018-04-04T16:49:19.314Z - info: วันที่ 118 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 41 นาที รวม 101 นาที
day[31] of 364 @2018-05-03
next day = 35
day of 7
2018-04-04T16:49:19.314Z - info: วันที่รดน้ำ => 2018-05-03
สัปดาห์ที่ 5 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.139562286633251
ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6558249146533006
2018-04-04T16:49:19.314Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-08
accumulated ETc = 6.355574275433343
2018-04-04T16:49:19.314Z - info: วันที่ 123 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 46 นาที รวม 106 นาที
day[37] of 364 @2018-05-08
next day = 41
2018-04-04T16:49:19.314Z - info: day of 8
วันที่รดน้ำ => 2018-05-08
สัปดาห์ที่ 6 จากทั้งหมด 52 สัปดาห์
2018-04-04T16:49:19.314Z - info: ค่า ETp ประจำวัน => 4.1465513658837185
ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6586205463534875
2018-04-04T16:49:19.314Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-13
accumulated ETc = 6.7113918233776815
2018-04-04T16:49:19.314Z - info: วันที่ 128 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 52 นาที รวม 112 นาที
day[43] of 364 @2018-05-13
next day = 47
day of 9
2018-04-04T16:49:19.315Z - info: วันที่รดน้ำ => 2018-05-13
สัปดาห์ที่ 6 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.158337947710709
ค่า Kc => 0.4
2018-04-04T16:49:19.315Z - info: ค่า ETc ประจำวัน => 1.6633351790842839
วันที่รดน้ำครั้งต่อไป => 2018-05-18
accumulated ETc = 7.0598130605423455
2018-04-04T16:49:19.315Z - info: วันที่ 133 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 58 นาที รวม 118 นาที
day[49] of 364 @2018-05-18
2018-04-04T16:49:19.315Z - info: next day = 53
day of 10
2018-04-04T16:49:19.315Z - info: วันที่รดน้ำ => 2018-05-18
สัปดาห์ที่ 7 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.174813787852616
ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6699255151410466
2018-04-04T16:49:19.315Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-23
accumulated ETc = 9.591096810382357
2018-04-04T16:49:19.315Z - info: วันที่ 138 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 2 ชั่วโมง 40 นาที รวม 160 นาที
day[55] of 364 @2018-05-23
next day = 59
day of 11
2018-04-04T16:49:19.315Z - info: วันที่รดน้ำ => 2018-05-23
สัปดาห์ที่ 8 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.194285452607187
2018-04-04T16:49:19.315Z - info: ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.5165712715643123
วันที่รดน้ำครั้งต่อไป => 2018-05-27
accumulated ETc = 9.112766528738796
2018-04-04T16:49:19.316Z - info: วันที่ 143 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 32 นาที รวม 152 นาที
day[61] of 364 @2018-05-27
next day = 64
day of 12
วันที่รดน้ำ => 2018-05-27
สัปดาห์ที่ 9 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.209925344651566
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.5259552067909397
วันที่รดน้ำครั้งต่อไป => 2018-05-31
accumulated ETc = 9.301279442977899
2018-04-04T16:49:19.316Z - info: วันที่ 147 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 35 นาที รวม 155 นาที
day[66] of 364 @2018-05-31
next day = 69
day of 13
2018-04-04T16:49:19.316Z - info: วันที่รดน้ำ => 2018-05-31
สัปดาห์ที่ 10 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.223302015168332
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.533981209100999
2018-04-04T16:49:19.316Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-04
accumulated ETc = 9.443149644637472
2018-04-04T16:49:19.316Z - info: วันที่ 151 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 37 นาที รวม 157 นาที
day[71] of 364 @2018-06-04
next day = 74
2018-04-04T16:49:19.316Z - info: day of 14
วันที่รดน้ำ => 2018-06-04
สัปดาห์ที่ 10 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.231980795714756
ค่า Kc => 0.6
2018-04-04T16:49:19.317Z - info: ค่า ETc ประจำวัน => 2.5391884774288536
วันที่รดน้ำครั้งต่อไป => 2018-06-08
accumulated ETc = 9.552608045079191
วันที่ 155 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 39 นาที รวม 159 นาที
day[76] of 364 @2018-06-08
next day = 79
day of 15
วันที่รดน้ำ => 2018-06-08
สัปดาห์ที่ 11 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.233521151043189
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.5401126906259135
วันที่รดน้ำครั้งต่อไป => 2018-06-12
accumulated ETc = 9.6428447163944
วันที่ 159 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 41 นาที รวม 161 นาที
day[81] of 364 @2018-06-12
next day = 84
day of 16
วันที่รดน้ำ => 2018-06-12
สัปดาห์ที่ 12 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.225788290410284
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.5354729742461704
วันที่รดน้ำครั้งต่อไป => 2018-06-16
accumulated ETc = 9.721253127848502
2018-04-04T16:49:19.317Z - info: วันที่ 163 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 42 นาที รวม 162 นาที
day[86] of 364 @2018-06-16
next day = 89
day of 17
2018-04-04T16:49:19.317Z - info: วันที่รดน้ำ => 2018-06-16
สัปดาห์ที่ 12 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.207264720221332
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.524358832132799
2018-04-04T16:49:19.317Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-20
accumulated ETc = 9.788873497107016
2018-04-04T16:49:19.317Z - info: วันที่ 167 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 43 นาที รวม 163 นาที
2018-04-04T16:49:19.317Z - info: day[91] of 364 @2018-06-20
next day = 94
day of 18
2018-04-04T16:49:19.318Z - info: วันที่รดน้ำ => 2018-06-20
สัปดาห์ที่ 13 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.177260622623629
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.506356373574177
2018-04-04T16:49:19.318Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-24
2018-04-04T16:49:19.318Z - info: accumulated ETc = 9.843312370086505
2018-04-04T16:49:19.318Z - info: วันที่ 171 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 44 นาที รวม 164 นาที
day[96] of 364 @2018-06-24
next day = 99
2018-04-04T16:49:19.318Z - info: day of 19
2018-04-04T16:49:19.318Z - info: วันที่รดน้ำ => 2018-06-24
สัปดาห์ที่ 14 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.135908355453515
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.481545013272109
2018-04-04T16:49:19.318Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-28
accumulated ETc = 9.882361910582842
2018-04-04T16:49:19.318Z - info: วันที่ 175 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 45 นาที รวม 165 นาที
2018-04-04T16:49:19.318Z - info: day[101] of 364 @2018-06-28
next day = 104
day of 20
2018-04-04T16:49:19.319Z - info: วันที่รดน้ำ => 2018-06-28
สัปดาห์ที่ 15 จากทั้งหมด 52 สัปดาห์
2018-04-04T16:49:19.319Z - info: ค่า ETp ประจำวัน => 4.083894425267103
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.4503366551602617
2018-04-04T16:49:19.319Z - info: วันที่รดน้ำครั้งต่อไป => 2018-07-02
accumulated ETc = 9.906318974658937
2018-04-04T16:49:19.319Z - info: วันที่ 179 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 45 นาที รวม 165 นาที
2018-04-04T16:49:19.319Z - info: day[106] of 364 @2018-07-02
next day = 109
day of 21
2018-04-04T16:49:19.319Z - info: วันที่รดน้ำ => 2018-07-02
สัปดาห์ที่ 15 จากทั้งหมด 52 สัปดาห์
2018-04-04T16:49:19.319Z - info: ค่า ETp ประจำวัน => 4.022017207067832
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.413210324240699
2018-04-04T16:49:19.319Z - info: วันที่รดน้ำครั้งต่อไป => 2018-07-06
accumulated ETc = 9.918570819139573
2018-04-04T16:49:19.319Z - info: วันที่ 183 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 45 นาที รวม 165 นาที
2018-04-04T16:49:19.320Z - info: day[111] of 364 @2018-07-06
next day = 114
day of 22
2018-04-04T16:49:19.320Z - info: วันที่รดน้ำ => 2018-07-06
สัปดาห์ที่ 16 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.950774666949607
2018-04-04T16:49:19.320Z - info: ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.3704648001697644
2018-04-04T16:49:19.320Z - info: วันที่รดน้ำครั้งต่อไป => 2018-07-10
accumulated ETc = 9.924874791786548
2018-04-04T16:49:19.320Z - info: วันที่ 187 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 45 นาที รวม 165 นาที
2018-04-04T16:49:19.320Z - info: day[116] of 364 @2018-07-10
next day = 119
day of 23
2018-04-04T16:49:19.320Z - info: วันที่รดน้ำ => 2018-07-10
สัปดาห์ที่ 17 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.8701895524620817
2018-04-04T16:49:19.320Z - info: ค่า Kc => 0.8
ค่า ETc ประจำวัน => 3.0961516419696657
2018-04-04T16:49:19.320Z - info: วันที่รดน้ำครั้งต่อไป => 2018-07-13
accumulated ETc = 9.930941335891216
2018-04-04T16:49:19.320Z - info: วันที่ 191 ของปี ต้องให้น้ำห่างกัน 3 วัน เป็นเวลา 2 ชั่วโมง 46 นาที รวม 166 นาที
2018-04-04T16:49:19.320Z - info: day[121] of 364 @2018-07-13
next day = 123
day of 24
2018-04-04T16:49:19.321Z - info: วันที่รดน้ำ => 2018-07-13
สัปดาห์ที่ 17 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.803437748170348
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 3.042750198536279
วันที่รดน้ำครั้งต่อไป => 2018-07-16
2018-04-04T16:49:19.321Z - info: accumulated ETc = 9.940547477184202
2018-04-04T16:49:19.321Z - info: วันที่ 194 ของปี ต้องให้น้ำห่างกัน 3 วัน เป็นเวลา 2 ชั่วโมง 46 นาที รวม 166 นาที
2018-04-04T16:49:19.321Z - info: day[125] of 364 @2018-07-16
next day = 127
day of 25
วันที่รดน้ำ => 2018-07-16
สัปดาห์ที่ 18 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.731127736416358
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.9849021891330865
วันที่รดน้ำครั้งต่อไป => 2018-07-19
accumulated ETc = 9.95657526675605
วันที่ 197 ของปี ต้องให้น้ำห่างกัน 3 วัน เป็นเวลา 2 ชั่วโมง 46 นาที รวม 166 นาที
day[129] of 364 @2018-07-19
next day = 131
day of 26
วันที่รดน้ำ => 2018-07-19
สัปดาห์ที่ 18 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.65325462722522
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.9226037017801763
วันที่รดน้ำครั้งต่อไป => 2018-07-22
accumulated ETc = 9.98016528062697
2018-04-04T16:49:19.322Z - info: วันที่ 200 ของปี ต้องให้น้ำห่างกัน 3 วัน เป็นเวลา 2 ชั่วโมง 46 นาที รวม 166 นาที
day[133] of 364 @2018-07-22
next day = 135
day of 27
2018-04-04T16:49:19.322Z - info: วันที่รดน้ำ => 2018-07-22
สัปดาห์ที่ 19 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.5700287977923564
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.8560230382338854
2018-04-04T16:49:19.322Z - info: วันที่รดน้ำครั้งต่อไป => 2018-07-25
accumulated ETc = 10.010999364525109
2018-04-04T16:49:19.322Z - info: วันที่ 203 ของปี ต้องให้น้ำห่างกัน 3 วัน เป็นเวลา 2 ชั่วโมง 47 นาที รวม 167 นาที
day[137] of 364 @2018-07-25
next day = 139
day of 28
2018-04-04T16:49:19.322Z - info: วันที่รดน้ำ => 2018-07-25
สัปดาห์ที่ 20 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.4819291802365524
2018-04-04T16:49:19.322Z - info: ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.785543344189242
2018-04-04T16:49:19.322Z - info: วันที่รดน้ำครั้งต่อไป => 2018-07-29
accumulated ETc = 13.402617040139376
2018-04-04T16:49:19.322Z - info: วันที่ 206 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 3 ชั่วโมง 43 นาที รวม 223 นาที
day[141] of 364 @2018-07-29
next day = 144
day of 29
2018-04-04T16:49:19.322Z - info: วันที่รดน้ำ => 2018-07-29
สัปดาห์ที่ 20 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.3582249511342726
2018-04-04T16:49:19.322Z - info: ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.686579960907418
2018-04-04T16:49:19.323Z - info: วันที่รดน้ำครั้งต่อไป => 2018-08-02
accumulated ETc = 13.465503882515687
2018-04-04T16:49:19.323Z - info: วันที่ 210 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 3 ชั่วโมง 44 นาที รวม 224 นาที
day[146] of 364 @2018-08-02
next day = 149
2018-04-04T16:49:19.323Z - info: day of 30
2018-04-04T16:49:19.323Z - info: วันที่รดน้ำ => 2018-08-02
2018-04-04T16:49:19.323Z - info: สัปดาห์ที่ 21 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.229669995826585
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.583735996661268
2018-04-04T16:49:19.323Z - info: วันที่รดน้ำครั้งต่อไป => 2018-08-06
accumulated ETc = 13.518397602072312
2018-04-04T16:49:19.323Z - info: วันที่ 214 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 3 ชั่วโมง 45 นาที รวม 225 นาที
day[151] of 364 @2018-08-06
next day = 154
day of 31
2018-04-04T16:49:19.323Z - info: วันที่รดน้ำ => 2018-08-06
สัปดาห์ที่ 22 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 3.0991974981589734
ค่า Kc => 0.8
2018-04-04T16:49:19.323Z - info: ค่า ETc ประจำวัน => 2.479357998527179
วันที่รดน้ำครั้งต่อไป => 2018-08-10
2018-04-04T16:49:19.323Z - info: accumulated ETc = 13.546260089272781
2018-04-04T16:49:19.324Z - info: วันที่ 218 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 3 ชั่วโมง 46 นาที รวม 226 นาที
day[156] of 364 @2018-08-10
next day = 159
day of 32
2018-04-04T16:49:19.324Z - info: วันที่รดน้ำ => 2018-08-10
สัปดาห์ที่ 22 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 2.969903041105371
ค่า Kc => 0.8
2018-04-04T16:49:19.324Z - info: ค่า ETc ประจำวัน => 2.375922432884297
วันที่รดน้ำครั้งต่อไป => 2018-08-14
accumulated ETc = 13.534344812675252
2018-04-04T16:49:19.324Z - info: วันที่ 222 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 3 ชั่วโมง 45 นาที รวม 225 นาที
day[161] of 364 @2018-08-14
next day = 164
2018-04-04T16:49:19.324Z - info: day of 33
วันที่รดน้ำ => 2018-08-14
สัปดาห์ที่ 23 จากทั้งหมด 52 สัปดาห์
2018-04-04T16:49:19.324Z - info: ค่า ETp ประจำวัน => 2.844746235000155
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.275796988000124
2018-04-04T16:49:19.324Z - info: วันที่รดน้ำครั้งต่อไป => 2018-08-19
accumulated ETc = 16.8261746657386
2018-04-04T16:49:19.324Z - info: วันที่ 226 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 4 ชั่วโมง 40 นาที รวม 280 นาที
day[166] of 364 @2018-08-19
next day = 170
day of 34
2018-04-04T16:49:19.324Z - info: วันที่รดน้ำ => 2018-08-19
สัปดาห์ที่ 24 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 2.698050996044842
ค่า Kc => 0.8
ค่า ETc ประจำวัน => 2.158440796835874
2018-04-04T16:49:19.324Z - info: วันที่รดน้ำครั้งต่อไป => 2018-08-24
accumulated ETc = 16.629105380523633
2018-04-04T16:49:19.325Z - info: วันที่ 231 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 4 ชั่วโมง 37 นาที รวม 277 นาที
day[172] of 364 @2018-08-24
2018-04-04T16:49:19.325Z - info: next day = 176
day of 35
วันที่รดน้ำ => 2018-08-24
สัปดาห์ที่ 25 จากทั้งหมด 52 สัปดาห์
